Date,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Choline (mg),Folate (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Chromium (µg),Copper (mg),Iodine (µg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),Omega-6 (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Completed
2021-06-08,1552.98,0.00,0.00,1427.91,1.44,3.86,50.30,10.65,5.24,6.97,416.09,450.97,402.15,159.74,703.50,15.92,947.54,584.39,,2.26,1.51,19.14,466.58,3.44,1610.18,6094.75,227.13,968.02,9.81,135.46,33.55,61.07,28.37,101.65,41.76,269.50,14.91,14.08,6.99,0.16,8.94,4.82,2.60,4.86,8.46,13.16,13.17,4.75,7.61,164.70,6.88,1.95,5.82,9.41,false
2021-06-14,1519.50,0.00,0.00,1217.89,1.33,3.47,42.69,11.12,4.95,6.43,446.86,350.14,289.29,109.15,626.00,12.34,320.35,791.06,,1.69,70.11,13.41,404.03,2.05,1720.93,5096.69,196.47,939.62,8.89,104.07,25.30,34.56,37.48,78.63,41.97,275.61,14.37,11.71,9.52,0.27,7.17,4.13,2.75,5.13,9.04,15.64,15.48,4.70,7.69,182.34,8.13,2.62,6.09,10.04,false
2021-07-04,2468.03,0.00,0.00,1480.56,1.37,3.27,41.33,9.39,4.92,6.81,573.52,426.42,1452.21,182.72,125.06,12.47,1498.45,994.42,,1.87,96.28,22.25,631.73,7.10,1969.48,6246.58,177.15,1316.70,23.65,204.82,35.98,111.52,46.09,168.68,75.39,351.52,27.06,9.13,28.36,1.79,1.05,7.45,2.43,5.19,8.05,13.57,13.31,4.23,7.86,254.71,6.87,1.82,6.15,9.32,false
2021-07-05,2820.04,0.00,0.00,4637.97,1.88,2.57,47.33,10.97,4.76,8.59,618.20,335.04,434.65,65.64,5341.50,10.83,168.65,1257.97,,2.35,253.66,22.01,1488.07,8.26,2620.50,6923.95,184.22,1830.59,28.16,293.08,38.24,164.79,65.51,254.58,87.23,367.00,32.35,16.72,26.13,1.07,2.15,14.04,2.18,5.28,7.59,13.41,12.76,3.94,7.45,224.76,6.62,1.73,5.98,8.84,false
2021-08-11,2130.48,0.00,0.00,369.47,0.85,1.87,43.78,9.32,3.95,3.12,1023.81,242.56,364.51,0.00,197.88,8.93,0.67,182.20,,0.84,115.14,6.76,225.20,1.25,1384.88,1878.24,158.51,1041.36,7.01,15.92,5.17,2.08,7.69,10.65,146.04,1147.52,27.42,14.79,24.65,0.03,0.29,14.08,1.81,4.47,6.57,10.99,11.39,3.45,6.02,192.48,5.99,1.65,5.08,7.11,false
2021-08-13,1269.24,0.00,0.00,201.64,0.83,0.74,45.69,6.49,3.71,0.62,372.86,192.00,29.70,0.00,2.97,8.27,0.00,88.45,,1.04,,5.00,235.38,1.58,1067.06,1725.27,90.11,579.24,5.29,26.17,6.84,2.77,15.25,19.23,58.41,308.88,23.14,14.72,10.86,0.03,0.14,14.23,1.22,3.90,5.17,8.84,9.46,2.61,4.76,167.09,4.78,1.34,4.11,5.56,false
2021-08-17,1843.64,0.00,0.00,568.40,1.48,1.34,33.37,7.56,2.88,5.03,415.01,224.08,101.48,0.36,53.50,1.72,25.81,654.72,,0.87,36.50,14.45,328.76,5.57,1659.59,2157.22,144.68,526.30,19.36,190.80,11.46,149.92,11.79,179.27,33.34,300.67,12.11,5.13,11.46,0.66,0.30,4.44,2.88,5.04,8.70,15.91,15.17,4.11,7.18,184.64,8.11,2.60,5.63,9.43,false
2022-03-19,226.50,,,99.21,0.16,0.32,18.20,2.57,1.74,0.32,167.10,,15.00,,1.50,0.81,,7.50,,0.06,,0.68,51.00,0.02,387.00,586.50,42.60,78.00,1.35,,,,,,4.76,156.00,1.82,1.15,1.49,0.02,0.07,0.92,0.48,1.71,2.25,3.79,4.40,1.19,1.85,45.81,2.06,0.58,1.65,2.37,false
2022-03-27,302.00,,,132.28,0.21,0.43,24.27,3.42,2.31,0.42,222.80,,20.00,,2.00,1.08,,10.00,,0.08,,0.90,68.00,0.02,516.00,782.00,56.80,104.00,1.80,,,,,,6.34,208.00,2.42,1.53,1.98,0.02,0.09,1.22,0.64,2.28,3.00,5.05,5.87,1.59,2.47,61.08,2.74,0.77,2.20,3.16,false
2022-04-01,1972.11,0.00,0.00,529.14,1.07,2.05,26.03,5.81,3.59,4.24,300.53,187.42,96.82,100.87,321.50,8.50,242.02,1239.87,,1.35,97.10,12.71,484.38,5.01,2007.04,4362.94,85.22,1466.49,8.36,190.03,28.31,88.64,64.04,161.70,47.51,160.00,6.60,10.31,20.73,0.04,2.95,7.09,1.07,2.37,3.32,5.58,5.74,1.65,3.09,207.24,2.94,0.96,2.42,3.76,false
2022-06-22,3179.88,0.00,0.00,892.42,2.26,2.60,45.27,8.90,4.27,9.22,492.97,482.88,122.32,74.97,325.50,10.75,283.41,1386.04,,1.95,97.93,24.35,695.12,10.49,2864.78,4325.02,189.35,839.87,25.34,348.70,37.84,221.08,62.12,310.66,96.23,332.00,31.41,16.59,32.49,1.59,3.13,13.06,2.30,4.67,6.70,11.76,11.02,3.48,6.59,235.38,5.86,1.55,4.93,7.78,false
